,ID,Street_One,Street_Two,location
0,34,MISSION ST,VIRGINIA AVE,"MISSION ST, VIRGINIA AVE, CA, USA"
1,60,MISSION ST,14TH ST,"MISSION ST, 14TH ST, CA, USA"
2,64,MISSION ST,LAWRENCE AVE,"MISSION ST, LAWRENCE AVE, CA, USA"
3,14,MISSION ST,TRUMBULL ST,"MISSION ST, TRUMBULL ST, CA, USA"
4,70,MISSION ST,LAFAYETTE ST,"MISSION ST, LAFAYETTE ST, CA, USA"
5,74,MISSION ST,HARRINGTON ST,"MISSION ST, HARRINGTON ST, CA, USA"
6,38,MISSION ST,PLUM ST,"MISSION ST, PLUM ST, CA, USA"
7,25,MISSION ST,GENEVA AVE,"MISSION ST, GENEVA AVE, CA, USA"
8,9,MISSION ST,ANTHONY ST,"MISSION ST, ANTHONY ST, CA, USA"
9,57,MISSION ST,RICHLAND AVE,"MISSION ST, RICHLAND AVE, CA, USA"
